案件代碼,分區,縣市,計畫名稱,開發單位,核定日期,終期計畫用水量(CMD)
1080809001,南區,高雄市,經濟部加工出口區高雄園區用水計畫,經濟部加工出口區管理處,108/08/07,20000
1080725001,中區,台中市,大里夏田產業園區,臺中市政府,108/07/25,3503
1080716001,中區,台中市,經濟部加工出口區中港園區用水計畫,經濟部加工出口區管理處,108/07/18,13000
960315001,南區,高雄市,台灣塑膠工業股份有限公司仁武廠M71鍋爐汽電共生程序汰舊換新計畫,台灣塑膠工業股份有限公司仁武廠,108/07/18,45000
1080712002,北區,新竹縣,遠東新世紀股份有限公司化學纖維總廠用水計畫,遠東新世紀股份有限公司,108/07/12,10038
1080712001,北區,宜蘭縣,台灣水泥股份有限公司蘇澳廠用水計畫,台灣水泥股份有限公司,108/07/11,5600
1080701001,中區,彰化縣,矽品精密工業股份有限公司彰化廠,矽品精密工業股份有限公司,108/07/01,7080
1080624001,北區,桃園市,亞東石化股份有限公司(含觀音二廠)用水計畫,亞東石化股份有限公司,108/06/21,38140
1080620001,北區,新北市,南亞塑膠工業股份有限公司林口二廠用水計畫,南亞塑膠工業股份有限公司,108/06/20,5097
1080614001,中區,台中市,永豐餘工業用紙股份有限公司成功廠,永豐餘工業用紙股份有限公司,108/06/14,4820
1080611001,北區,宜蘭縣,幸福水泥股份有限公司東澳廠用水計畫,幸福水泥股份有限公司東澳廠,108/06/11,3338
1080527001,中區,彰化縣,夆昌皮革股份有限公司擴增產能計畫,夆昌皮革股份有限公司,108/06/11,1370
1080522001,中區,台中市,正隆股份有限公司后里分公司用水計畫,正隆股份有限公司后里分公司,108/05/21,32006
1080516001,北區,新竹縣,新竹科學工業園區（含一至三期、三、五路及寶山用地）用水計畫,科技部新竹科學工業園區管理局,108/05/15,205000
1080513001,北區,桃園市,新光合成纖維股份有限公司中壢廠用水計畫,新光合成纖維股份有限公司,108/05/13,5562
1080503001,南區,高雄市,中華紙漿股份有限公司久堂廠,中華紙漿股份有限公司,108/05/01,22975
1080423001,南區,高雄市,証統環保科技股份有限公司開發計畫,証統環保科技股份有限公司,108/04/26,2712
1080503002,東區,台東縣,中華紙漿股份有限公司台東廠,中華紙漿股份有限公司,108/04/25,10510
931001058,南區,台南市,台南科技工業區（修定本）（修正面積）,經濟部工業局,108/04/25,29000
1080704001,北區,桃園市,東和鋼鐵桃園廠擴增產能計畫,東和鋼鐵企業股份有限公司,108/04/17,3959
1080416002,中區,台中市,經濟部加工出口區臺中園區,經濟部加工出口區管理處,108/04/15,9583
1080411001,北區,新竹縣,晶兆成科技股份有限公司二廠新建工程,晶兆成科技股份有限公司,108/04/10,381
1080329001,北區,新北市,南亞塑膠工業股份有限公司樹林廠及台染廠用水計畫,南亞塑膠工業股份有限公司,108/04/09,5770
1080401001,中區,雲林縣,福懋興業股份有限公司用水計畫,福懋興業股份有限公司,108/04/01,24365
1080325001,中區,台中市,豐興鋼鐵股份有限公司用水計畫,豐興鋼鐵股份有限公司,108/03/19,6042
1080417001,北區,桃園市,長榮空廚二廠新建工程用水計畫,長榮空廚股份有限公司,108/03/11,1500
1040224001,南區,高雄市,高雄市和發產業園區用水計畫書修正版,高雄市政府經濟發展局,108/03/11,5500
950321001,中區,台中市,台肥遷建至台中港營運投資計畫,台灣肥料股份有限公司,108/02/26,2363
1080212002,北區,桃園市,永豐餘工業用紙股份有限公司新屋廠(工廠登記編號：99621848),永豐餘工業用紙股份有限公司,108/02/11,23000
951017001,中區,台中市,「中部科學工業園區第三期發展區（后里園區－后里農場）開發計畫」用水計畫(第一次變更),科技部中部科學工業園區管理局,108/01/31,45000
931001075,北區,桃園市,宏碁智慧園區(龍潭渴望智慧園區) 用水計畫書(修正版),龍潭渴望智慧園區工業區管理委員會,108/01/31,12000
1080212001,南區,台南市,關廟區埤子頭段觀光旅館園區案,豊森藝林國際股份有限公司,108/01/30,353
931001062,南區,嘉義縣,嘉惠電廠開發計畫用水計畫書(修正本),嘉惠電力股份有限公司,108/01/25,10000
931001069,北區,桃園市,大潭濱海特定工業區用水計畫書(107年修正版),桃園市政府,108/01/24,2950
1010410001,南區,高雄市,台灣中油股份有限公司大林煉油廠蒸餾工場汰舊更新暨相關工場更新計畫,台灣中油股份有限公司,107/12/24,44150
1071220001,北區,桃園市,大鐘印染股份有限公司(工廠登記證號碼：99-628281),大鐘印染股份有限公司,107/12/19,5515
1000214001,中區,苗栗縣,新竹科學工業園區第四期擴建用地（銅鑼基地）用水計畫(第二次修正),科技部新竹科學工業園區管理局,107/12/05,16000
940902001,北區,新竹縣,新竹生物醫學園區用水計畫(第一次修正),科技部新竹科學工業園區管理局,107/12/05,5700
961226001,中區,苗栗縣,長春石油化學苗栗廠及苗栗二廠擴建用水計畫書,長春石油化學股份有限公司,107/11/28,33000
1071120001,南區,高雄市,興達發電廠燃氣機組更新改建計畫,台灣電力公司,107/11/16,6864
1011221001,中區,彰化縣,中部科學工業園區第四期（二林園區）開發計畫,科技部中部科學工業園區管理局,107/11/16,20000
931001077,北區,新北市,永聯工商綜合區物流專區開發計畫,國泰人壽保險股份有限公司,107/11/16,682
1071114001,北區,桃園市,台灣科慕股份有限公司觀音廠,台灣科慕股份有限公司,107/11/13,8979
